,ACG.L,ACG.R,AMYG.L,AMYG.R,ANG.L,ANG.R,CAU.L,CAU.R,CUN.L,CUN.R,FFG.L,FFG.R,HIP.L,HIP.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,INS.L,INS.R,IPL.L,IPL.R,MTG.L,MTG.R,ORBinf.L,ORBinf.R,ORBmid.L,ORBmid.R,ORBsup.L,ORBsup.R,ORBsupmed.L,ORBsupmed.R,PCG.L,PCG.R,PCUN.L,PCUN.R,PUT.L,PUT.R,ROL.L,ROL.R,SFGdor.L,SFGdor.R,SFGmed.L,SFGmed.R,SPG.L,SPG.R,STG.L,STG.R,THA.L,THA.R,class
0,-0.3371822851493475,-0.2145626455552527,-0.07131817448759672,-0.14522279267616997,-0.1614757061464918,-0.023925150779294968,0.020773076410096285,0.07877827519368834,0.37394427603030994,0.2690620048926479,0.1191960549289417,0.20060096896117519,-0.09620272517945955,-0.07697242106248706,0.07592089642457027,0.2224033400178569,0.16044177940109985,0.08707456215919641,-0.04659071105367916,-0.07179551255877258,0.10903331858909167,0.08691014207145215,-0.020315948241261306,0.01824201244526055,-0.05353482802419479,-0.18333919692352774,0.09469028165579418,-0.1919514683203516,-0.12076519486123588,0.019675884235184894,-0.3871228434410979,-0.34015951275525325,-0.14040036443501427,-0.007517664691860664,0.053659652137658276,0.20525148055162842,0.017693461350190207,-0.08122794115565007,-0.2800516158351756,-0.30552072433925576,-0.12322543479354035,-0.04724409098843627,-0.28781820688476495,-0.23500917160152704,0.23932204267792664,0.38726731415552534,-0.1458152916966345,-0.0752569216253298,0.1746277258043826,0.13062598315817833,-1.0
1,0.002243354371047344,-0.01175266857293574,-0.12219711636016418,-0.01931145299394955,-0.1681376255222887,-0.11376067388542029,-0.040257744033868344,-0.06023499468498805,-0.14537613972059427,-0.15298154391443022,-0.0365338328064847,-0.07651530290096255,-0.009064420987615111,0.023738270632690083,-0.10144403041290768,-0.05161719578463064,-0.061456363251914566,-0.05583746264643189,-0.13050096588140486,-0.07540989317440548,-0.18887962819948134,-0.08089854795590104,-0.029612176129852508,0.01003539308611538,0.021470369231571876,-0.014275850756832095,-0.17434506795946048,-0.13265617203208127,-0.05205798966346426,-0.05635333273834087,0.17594634977839382,0.17493360930275595,-0.06425435636199751,-0.055447256905988174,-0.2827540324394254,-0.21021151305905336,-0.007508608181809077,-0.022477047719198787,-0.2015011036033213,-0.12313590063585715,-0.13915470495252244,-0.1000721090112174,0.02788098934091252,-0.020143175573098703,-0.24800547545727236,-0.1847276150649015,-0.07077472739861036,0.025212269089724584,-0.06878191891896823,-0.043084088984745396,-1.0
2,-0.07606503442726585,-0.03712883977651861,-0.10270730250976806,0.04600980923116654,-0.0666274507958756,-0.007619941006941781,0.22895561961389244,0.24816642523636231,-0.05347920150128296,0.030761393838277806,0.08257352972695338,0.06287128805305213,-0.04896780895810229,0.00784957318517016,0.07962274011331077,0.09428549542347874,0.14273285302723301,0.0041309043475356065,-0.05241037154050704,-0.052185994378403135,0.15114324815122504,0.225606025302129,0.09918698078085664,0.015179885461098969,-0.001188762163548999,-0.12492200135235376,0.05535608065437164,0.06167026296737637,0.08818494318058762,0.04870369184374577,-0.04188261307001497,-0.06880980808614842,0.02482286820325194,-0.1057636943194168,-0.05732411436303073,-0.021737097437773415,0.030082479592179568,-0.0018533202022937012,-0.03717956747536117,-0.08170560563762888,0.022227096022109805,0.023512818331220847,-0.02327425009336516,-0.05972345393069384,-0.03740637368980006,0.12284998582385072,0.12793833439543006,-0.02441700591375916,0.011052208454777142,0.013703698833066645,-1.0
3,-0.10898058335975601,-0.09587511661017567,-0.02099448027146057,-0.07748707552255374,-0.19014822802596335,-0.18670836528965687,-0.0341265002394564,0.018871715568154448,-0.2793147129350935,-0.275372729745117,-0.08941080875928431,-0.11196664627299154,-0.10999642476741062,-0.10037536978576268,-0.0504367819405074,-0.11816039590743697,-0.07171920019078397,-0.05298441239232385,-0.13815916557187125,-0.1411729935277288,-0.14352582588887808,-0.09424382428399668,-0.07964508775164923,-0.10569570734892136,-0.19970504994280872,-0.2484748868000919,-0.09895757732480781,-0.05818275502110024,-0.10609831951671696,-0.060122288032137094,-0.061568568265295776,-0.06141143623808017,-0.24837955058821523,-0.11423096083009399,-0.2242054589226362,-0.20536653308628305,-0.061294532811266615,-0.047018223611273086,-0.0736369361927529,-0.16090460796160483,-0.15914992767193673,-0.13995578873426176,-0.184841060031782,-0.14760319931048038,-0.13824672809242558,-0.09942634931925433,-0.12380763765418273,-0.10339659303235725,-0.1522315303395447,-0.19153807298665446,-1.0
4,0.055269911878057014,0.011343313973254868,-0.03833221279059764,0.012038463182228017,-0.05173657223964464,-0.011464502019812944,0.10788041185418078,0.1065350920543142,0.1259689875888502,0.11301908337359717,0.019208178545406948,-0.05883903721238717,0.003778868577710405,0.06328405109060299,0.011400927366403786,-0.025118294574996525,-0.03451294448083969,-0.024524557626444718,-0.0811168203664742,-0.06933990639413842,-0.04679780412147636,-0.07896040975409238,0.08961215656029879,0.07620113846119779,-0.04507793450760734,-0.028730539974419666,-0.20066664796058095,-0.16816589853898403,-0.10384503627438328,-0.19468050000738704,-0.07717931457275062,-0.08653638565239012,0.04509009300917032,-0.02197485724753236,0.06466171878258249,0.06157215391123139,0.0024097549628441747,0.004430105697377773,-0.02222887588634097,0.03924848074951306,0.016467369640945275,-0.02536995838434114,0.00588549068548327,-0.03267703659467799,0.013133327432545494,0.1919475799097082,0.12433457252343422,0.09941669408149799,0.0662817700271841,0.0351464764070546,-1.0
5,-0.09890452082609624,-0.06963706767397816,-0.1441285558039134,-0.16266136394471892,-0.09099022325938605,-0.010887531197834921,0.04884495261480587,0.06630918581775834,-0.036905906229792305,-0.03977955522605576,0.038523439961831774,0.021597712489779045,-0.1503372056079555,-0.021172264088731896,0.09971111458066477,-0.09000851593492087,-0.06581734013744192,-0.13231821283210182,-0.06247694414370678,-0.01683627058075254,-0.03760137503831392,-0.027013749480886848,-0.029376737427788027,0.047668969947521546,-0.11303024539314277,-0.08365674722821433,-0.13773852740300882,-0.1352983358634921,-0.047847271818738484,-0.03917562693000966,0.03220490020320884,0.008687181077097908,0.07890689205821101,0.08083466544865432,0.01937415266805134,0.0333660537306925,-0.09729513971520569,-0.01811274616184649,-0.08276573379317141,-0.17308013392888064,-0.0894730032128519,-0.06969258501963942,-0.0892919284461105,-0.059356761522528695,-0.0870382866419704,0.12428089277962917,-0.05919884673211943,-0.06378241551873266,0.04820398621052686,0.032244808348499916,-1.0
6,-0.15242813398421964,-0.14131553572289648,-0.09876983082496832,-0.04199771264860625,-0.1272985210358695,-0.08426397275859254,0.026347810913709982,0.07156710542589385,-0.12300753863636632,-0.04509804746516744,-0.025623427417365646,-0.03941003475387982,-0.06578102534943563,-0.0901054481355853,0.05822088796564354,-0.03928862203387715,0.05408118456864383,-0.08482271757201958,-0.14599828021023617,-0.1547758399143287,-0.05386904452923876,-0.03841619538293603,-0.059344449275524846,-0.09297818056025119,-0.18862631966991783,-0.18071902081328992,-0.008518059473129476,-0.13634980230207594,0.0792535825151614,-0.03969398039516318,0.0260589555750301,-0.02751844287979407,0.0026650526610671097,0.08700801626455655,-0.07780074756077286,-0.051407361055546275,-0.00976403651100768,0.014477863361489145,-0.16740413205417135,-0.1909741201687367,-0.08163298992641392,-0.08157105775949436,-0.07530140860472509,-0.16278689173319302,-0.015499617260285354,0.06437225786299706,-0.13034894077077874,-0.1473218975388089,0.06413631541136348,0.08235637528577196,-1.0
7,-0.15053101540721497,-0.14558465984866317,-0.3238559486488673,-0.2319337485495512,-0.18591963654441113,-0.0777721376918639,0.020929172215017694,0.003640856769596143,-0.1622615700035673,-0.15576669967026174,-0.038171636892686024,0.03779570620585928,-0.10762641857122845,-0.15083182654813185,-0.03931040394149556,-0.1391054547256553,-0.023284029948329687,-0.130638353509661,-0.13190760788249004,-0.2197738642077025,-0.06055600466878088,-0.11943688813567606,-0.07184732183992808,-0.05290790659632421,-0.1071093603605799,-0.13394720672788496,-0.0374471912957757,-0.03741208984187732,-0.09487009207329909,-0.10487934197722602,-0.2471985687713739,-0.12022435377682326,0.04114283470448558,0.026321530301025176,-0.10239449644140647,-0.09286138303467395,-0.07661000890393431,-0.1784396597450558,-0.2411274391450818,-0.2533251019412352,-0.1080368721727199,-0.12677876841254668,-0.15293219310170672,-0.1237167795225118,-0.07964604054340198,-0.04685265547062969,-0.0724800708586058,-0.08953801491720266,-0.01721169205249338,-0.048232196015860894,-1.0
8,0.23278715819646342,0.1106330352760586,-0.04893935669403518,0.1395759857996651,-0.07969863460341996,-0.09578458027806501,-0.0662223919904847,0.014586295605347492,-0.15325755435616636,-0.2062406931187972,-0.010979975316576832,-0.04341084194745614,0.03999601846794636,0.07265584068362464,-0.2590700505690573,-0.1173452253170698,-0.16434676059539946,-0.12265188088259193,-0.03968413246682026,0.04559423586735395,-0.133177862570818,-0.0449212251401566,0.007772425626777435,0.019953286466875032,-0.061468650401420764,0.10747549651083273,-0.13081429542163311,0.043568733945533455,-0.05353230912075308,-0.056515073511366344,0.2800975435111603,0.2078164915177211,0.05293518894906545,-0.05839229353273886,-0.09560452503037416,-0.1614753415793613,-0.10599136840022531,-0.05869136483600796,-0.007734931124147445,0.03181601696590477,0.08207212638973654,0.09150024770778016,0.12861166413740888,0.1796030579500705,-0.13444147331703984,-0.024819949028612873,0.04125352397179731,0.0822481936143182,-0.049227281750656854,-0.0032250180516823963,-1.0
9,-0.029689442195081822,-0.051770007290404096,0.25810963844776347,0.0996935258631082,0.057875400469415535,0.06711272895644231,0.02087807478577797,0.0094018304235236,0.0042297298706867785,0.009987348637471296,0.12004056966711067,0.07248596098988594,0.10786867486621206,0.09819793359927709,-0.014555333766448367,-0.12857463052251772,-0.07342300421881415,0.010459227506949338,-0.10896434482471747,-0.0636608101521126,-0.1716362267359528,-0.07454895655823561,0.11582323182314402,0.0977825227168778,0.020307039682686923,0.040038954716150134,-0.18789417108323536,0.00528079688755644,-0.11567855937142117,-0.08670710691824383,0.1744501414933625,0.1043319535152167,0.15386728332876026,0.09021052199171882,0.0621228401796575,0.02873068447389784,0.08362623400076251,-0.05180228467740274,0.0974122819973187,0.1415993456299451,-0.012726895691304219,-0.04261169284458783,0.09294557643955009,0.08375539461398267,0.05342857793817265,0.07225420246375319,0.10554260112735057,0.11274485388033463,0.03813493622175992,0.001506629812982006,-1.0
10,-0.0589267138968142,-0.038451191873805475,-0.09380320450453751,-0.029586948403762,-0.04649565366794391,-0.08615566369746756,-0.10153043090246554,-0.05853214885224058,-0.026755035326479732,0.030830949896850854,0.05594924508307434,0.016880976528098675,0.024657941013488224,-0.0011171206907649763,0.08984821189729335,-0.009108015224445066,0.0731295605171823,-0.04931970908682921,-0.03586324868528184,-6.157359533409679e-06,0.030065746387621047,-0.03005024187445408,0.04938307185026739,0.002553155642204268,0.021373934348834823,-0.03975613986519586,-0.02368736815143051,-0.08320520461063567,-0.04738263873326715,-0.02432670014854044,0.04067029117186294,0.002761309376705564,0.012619088847562953,0.034430356842281296,-0.013832622169004022,-0.030447961745077422,-0.02890817880229517,-0.06794748033630288,-0.03539663925905814,-0.050518459061422105,-0.03679720761683359,-0.06417435211530481,-0.03331463465718897,-0.07074639628097162,-0.02317551684887009,0.018079901324891522,-0.06795157379263862,-0.02686901507338908,0.09850710921733692,0.045118737583354405,-1.0
