,ACG.L,ACG.R,AMYG.L,AMYG.R,ANG.L,ANG.R,CAU.L,CAU.R,CUN.L,CUN.R,FFG.L,FFG.R,HIP.L,HIP.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,INS.L,INS.R,IPL.L,IPL.R,MTG.L,MTG.R,ORBinf.L,ORBinf.R,ORBmid.L,ORBmid.R,ORBsup.L,ORBsup.R,ORBsupmed.L,ORBsupmed.R,PCG.L,PCG.R,PCUN.L,PCUN.R,PUT.L,PUT.R,ROL.L,ROL.R,SFGdor.L,SFGdor.R,SFGmed.L,SFGmed.R,SPG.L,SPG.R,STG.L,STG.R,THA.L,THA.R,response
0,-0.03082607,-0.014690339,0.127699039,0.059144894,-0.027215971,0.079609123,0.125092433,0.180778675,0.184283877,0.152711581,0.228658395,0.062975561,0.06408615,0.06434594,-0.058090701,0.105250546,0.117103309,0.12009746,0.002662665,0.029376269,0.035268185,0.125516711,0.055596302,0.119812729,-0.098654693,0.000521767,0.020891746,0.004164429,-0.005042024,0.030409808,-0.016480666,0.075463625,0.151327803,0.242236011,0.094043067,0.212144837,0.08346447,0.066800432,-0.105482916,-0.017329209,-0.040571505,0.060909607,-0.079734461,0.018450649,0.059275476,0.235660673,0.053446115,0.125669329,0.110693981,0.220662802,-1
1,0.052920856,0.051249426,0.073546386,0.041369496,-0.058271083,-0.07762418,-0.120725539,-0.097051916,-0.056947803,-0.099227096,0.035401422,0.023677535,0.060053429,0.036193897,-0.066413004,0.058493487,-0.074418981,0.023554254,0.02177607,0.055643634,-0.022618975,-0.013452252,0.019782159,0.058259441,0.027931636,0.006592305,-0.05345212,-0.099209822,0.023769594,-0.039694337,0.037234875,0.025387175,0.056905005,-0.033641366,-0.083085564,-0.09508261,0.075814459,0.04665044,0.035147374,0.094685971,-0.071856773,-0.046283368,-0.030321734,-0.088997791,-0.097856945,-0.134089645,0.063148031,0.085541499,-0.030944039,0.032580225,-1
2,0.218519358,0.254414046,0.307744841,0.184055422,0.108989941,0.285066074,0.181203096,0.243715016,0.112602916,0.145116177,0.284647735,0.23742884,0.205133873,0.282530691,0.083090366,0.220830817,0.082849841,0.268924429,0.165775516,0.284677593,0.114204543,0.167833701,0.215997904,0.331171107,0.054670496,0.174571769,0.093654037,0.264788356,0.092418019,0.288439244,0.161413067,0.219774178,0.262898234,0.381624863,0.18704258,0.258158567,0.254800621,0.340047937,0.123670533,0.167372378,0.158292614,0.289944869,0.222119342,0.26970652,0.096564041,0.120499521,0.110134818,0.285112631,0.161706453,0.185054858,-1
3,0.326445261,0.255698549,0.014365896,0.109273421,0.075574305,-0.018881494,0.105719529,0.113182533,0.156793167,0.103313564,0.175401789,0.159391346,0.179723685,0.187020716,0.034142988,0.038025174,0.000551871,0.083701099,0.108786863,0.06659,0.009585354,-0.089876793,0.137951183,0.120137599,0.26690571,0.190587861,0.113372078,0.001856779,0.151068209,0.108230259,0.236188994,0.137029813,0.198498819,0.07587025,0.120469015,0.087446513,0.076644822,0.056805958,0.081569377,0.081947182,0.136447476,0.088574867,0.191263704,0.163051564,0.050799203,-0.046854883,0.113732026,0.128450704,0.105527954,0.02575598,-1
4,0.145437512,0.096665882,0.041449038,0.111460791,-0.078631218,-0.161940703,-0.092928841,-0.062298719,0.002960325,0.035294289,0.054823378,-0.050295258,0.035589189,0.06743937,-0.184125963,-0.137703655,-0.158865103,-0.172034183,-0.023955381,-0.021544287,-0.077296269,-0.14357952,0.010261739,-0.020217789,-0.121973258,-0.076447012,-0.021743183,0.375208588,-0.254176849,0.006257705,0.000721858,0.073338017,-0.044670022,-0.050353232,-0.061994661,-0.055599355,0.005076596,0.046566621,0.018469749,0.005985929,-0.088997091,-0.065813516,-0.057385526,-0.045330954,-0.135975623,-0.063781036,0.087591724,0.028701419,-0.128967939,-0.079304872,-1
5,0.0777182,-0.003002995,0.076264445,-0.178695653,-0.090242383,-0.004843538,0.050130772,-0.060498277,0.163548058,0.11683601,0.124024992,0.131901023,0.023282195,0.104187552,0.020478068,0.031039899,0.0204694,-0.02663764,-0.014333647,-0.042296078,0.064836081,0.084508029,0.027143875,0.157458023,-0.051576716,-0.080477911,-0.09719072,-0.011213813,0.037199492,-0.024151761,0.149360804,0.210239723,0.05263902,0.091250761,0.070948224,0.159822091,0.039383824,0.011154083,0.070228036,0.077649551,-0.000660567,0.044285022,-0.021338452,-0.031452061,0.065672606,0.193987852,0.096595869,0.138688475,0.030722651,0.068339634,-1
6,0.172459343,0.100158185,0.231174137,0.21978257,0.005706007,-0.094594826,-0.002251333,0.028464167,0.069700704,0.091392113,0.063115824,0.06729405,0.113602906,0.110119949,-0.12322397,-0.081909635,-0.084320623,-0.06057479,-0.033562222,-0.035333944,-0.105874743,-0.145429796,0.091509182,0.063992599,0.075169427,0.148202337,-0.072759993,-0.060524241,0.016662041,0.00711101,0.230147667,0.166250973,0.18113396,0.13434486,0.0744076,0.03658659,0.006946254,-0.030816252,-0.072670357,-0.020574813,-0.005812684,-0.070025845,0.111565654,0.018391479,-0.04501825,-0.014731066,0.051407874,0.055733044,0.029676698,0.025234366,-1
7,0.09612216,0.07817905,0.190335358,0.213127885,-0.095476594,-0.098838371,-0.010035527,-0.103641872,0.125318538,0.034284596,0.05717113,0.087110148,0.118206209,0.119420486,-0.007361751,0.007302967,-0.034120993,-0.011074359,0.043686897,0.062122144,-0.073767436,-0.044067243,0.065277699,0.084195742,-0.048587664,0.033350446,-0.206640975,-0.190008976,-0.026944296,-0.100574379,-0.011710971,0.071521927,-0.110823052,-0.17761503,-0.10483582,-0.106482162,0.014796712,-0.008168164,-0.03802488,0.060659593,-0.067168395,-0.011014073,-0.086169469,-0.005506319,-0.085208764,-0.085038163,0.131543259,0.14692686,0.008026178,-0.036697358,-1
8,0.199693133,0.170023855,0.27179826,0.236926672,-0.06786779,-0.151464011,0.008474701,0.007882851,0.083959953,0.044921307,0.164288497,0.080564606,0.162154233,0.101432064,-0.071915565,-0.054263312,-0.035502882,-0.05804286,0.088161809,0.08334947,-0.031383187,-0.118671033,0.143946414,0.070579099,-0.05298916,0.074097903,-0.112579725,-0.100321277,-0.07358134,-0.119044374,0.238506476,0.130319079,0.079435313,-0.019228328,-0.015096286,-0.037456538,0.079357837,0.043190073,0.170777956,0.101971613,0.059306497,0.036764495,0.063128228,0.099266144,-0.058998652,-0.093059018,0.179488181,0.14697713,0.115615493,0.077895486,-1
9,0.185288395,0.171769984,0.128327599,0.192446519,0.09452611,0.153533198,0.058680798,0.066149743,0.111414517,0.113647164,0.149679437,0.036071331,0.090630936,0.097869232,0.03686237,0.129510107,-0.013397808,0.113337939,0.056212568,0.164647342,-0.018203905,0.097732846,0.158181695,0.159097959,0.027021448,0.08326358,-0.080348354,-0.065255694,-0.102017015,-0.120227256,0.036231,0.097228335,0.13595648,0.184467791,0.10091184,0.147410793,0.094963474,0.124540925,0.154662733,0.102095067,0.061747704,0.093997881,0.122855268,0.102871262,-0.015867616,-0.010913429,0.148254065,0.216183125,0.163802569,0.086557386,-1
