ACG.L,ACG.R,AMYG.L,AMYG.R,DCG.L,DCG.R,INS.L,INS.R,ITG.L,ITG.R,MFG.L,MFG.R,MTG.L,MTG.R,ORBmid.L,ORBmid.R,ORBsupmed.L,ORBsupmed.R,PCG.L,PCG.R,PCUN.L,PCUN.R,PHG.L,PHG.R,STG.L,STG.R,response
-0.060329568,-0.079905554,-0.007713392,-0.001290604,-0.072190061,-0.086753439,-0.025494789,-0.050012675,-0.08058721,-0.051450565,-0.052574252,-0.080262644,-0.097512048,-0.050225932,-0.042267384,-0.095374989,-0.098232313,-0.117574894,-0.087424064,-0.111657494,-0.177848335,-0.206030792,-0.066969471,-0.047918592,-0.082039438,-0.103869553,1.55
-0.092298848,-0.077830785,0.028323365,-0.000708331,-0.07667049,-0.059694361,-0.03302959,-0.03329533,-0.063192698,-0.049727543,-0.070645583,-0.04558092,-0.082574972,-0.064973107,-0.069420794,-0.060144227,-0.041787341,-0.018126133,-0.047915249,-0.03497423,-0.104921326,-0.122466985,-0.024984952,-0.015966408,-0.077050416,-0.060418036,1.79
-0.089693781,-0.071578618,-0.020821114,-0.033263438,-0.061343655,-0.056347492,-0.034109632,-0.04735038,-0.074639433,-0.061442394,-0.044576983,-0.061179829,-0.066305862,-0.059181293,-0.031779634,-0.027949339,-0.106205487,-0.076662861,-0.080775639,-0.063642753,-0.080033044,-0.064261014,-0.040385866,-0.023375911,-0.063965734,-0.086311854,1.89
-0.060740327,-0.043979483,0.006999735,0.001004657,-0.076914781,-0.051970413,-0.042298897,-0.035226827,-0.058047176,-0.025441555,-0.049419802,-0.059044859,-0.07620173,-0.060482872,-0.100508262,-0.103834699,-0.110509772,-0.064972882,-0.058151415,-0.066673234,-0.130934211,-0.142183974,-0.056252265,-0.018859586,-0.084538709,-0.087141694,1.55
-0.043297072,-0.046973963,0.005380366,0.022862056,-0.02715436,-0.031101629,-0.00274284,-0.006729593,-0.06245978,-0.022223036,-0.021535527,-0.01924416,-0.078435901,-0.034586701,-0.014415571,-0.047885655,-0.055051888,-0.061836513,-0.074733095,-0.055559673,-0.041447941,-0.076911499,0.000652902,-0.015160954,-0.022274017,-0.030990892,1.97
-0.051810973,-0.035477477,0.041875286,0.016213746,-0.052372781,-0.049278129,-0.019645534,-0.031489882,-0.041718313,-0.014517121,-0.063360047,-0.046387024,-0.044700151,-0.019988684,-0.030756307,-0.004593892,-0.006822327,-0.022799372,-0.02220861,-0.005624256,-0.099046706,-0.089157384,0.000200869,-0.002274752,-0.037415758,-0.028291685,1.58
-0.035822702,-0.035403919,-0.017818612,-0.004125754,-0.044687852,-0.047162491,-0.027035532,-0.056621076,-0.034135603,-0.034864394,-0.046378184,-0.041053417,-0.049728756,-0.044832412,-0.015821945,-0.043395002,-0.004965297,-0.005805312,-0.03676468,-0.029562849,-0.052000542,-0.030920628,-0.025909992,-0.02234152,-0.069808205,-0.053765825,1.53
-0.035264225,-0.039110628,0.008918,0.00516476,-0.027916527,-0.027752047,-0.018405579,-0.013275684,-0.008516292,0.006744139,-0.026178389,-0.013762495,-0.011412253,-0.030501176,-0.001498383,-0.001528596,-0.033399632,-0.020265663,0.003761224,0.025422809,-0.02462278,-0.027148609,-0.038087384,-0.01432241,-0.027191075,-0.032081619,1.41
-0.047511334,-0.053121643,0.004917247,-0.001955248,-0.069778326,-0.062252382,-0.03291401,-0.038742206,-0.046784781,-0.017356004,-0.039005974,-0.036054454,-0.051600496,-0.044267999,-0.023584797,-0.014896507,-0.01713409,-0.042179303,-0.066348756,-0.072443646,-0.102007397,-0.113809131,-0.024207384,-0.022077416,-0.067496281,-0.061008967,2.25
-0.029664426,-0.017138648,0.058814351,0.034826338,-0.029395718,-0.03252959,0.012842931,0.009203744,0.004219278,0.022560958,-0.029847249,-0.047284261,-0.024699594,-0.018470619,0.026612323,0.009511473,0.046071138,0.04206015,-0.017792312,0.001024743,-0.030438472,-0.025911081,0.012925687,0.0215786,0.028114096,0.005984144,1.83
